"","ans","subj","key","trial_order","corr"
"628","1","spoli_c_444",2,20,0
"629","1","spoli_c_444",2,21,0
"630","1","spoli_c_444",1,22,1
"631","1","spoli_c_444",2,23,0
"632","2","spoli_c_444",1,24,0
"633","1","spoli_c_444",1,25,1
"634","2","spoli_c_444",2,26,1
"635","1","spoli_c_444",2,27,0
"636","1","spoli_c_444",1,28,1
"637","1","spoli_c_444",1,29,1
"638","2","spoli_c_444",2,30,1
"639","1","spoli_c_444",1,31,1
"640","1","spoli_c_444",2,32,0
"641","2","spoli_c_447",2,1,1
"642","2","spoli_c_447",1,2,0
"643","2","spoli_c_447",1,3,0
"644","1","spoli_c_447",2,4,0
"645","1","spoli_c_447",1,5,1
"646","2","spoli_c_447",2,6,1
"647","2","spoli_c_447",2,7,1
"648","1","spoli_c_447",1,8,1
"649","2","spoli_c_447",1,9,0
"650","2","spoli_c_447",2,10,1
"651","2","spoli_c_447",2,11,1
"652","2","spoli_c_447",1,12,0
"653","2","spoli_c_447",2,13,1
"654","2","spoli_c_447",1,14,0
"655","1","spoli_c_447",2,15,0
"656","2","spoli_c_447",1,16,0
"657","2","spoli_c_447",1,17,0
"658","2","spoli_c_447",2,18,1
"659","2","spoli_c_447",1,19,0
"660","2","spoli_c_447",2,20,1
"661","2","spoli_c_447",2,21,1
"662","2","spoli_c_447",1,22,0
"663","1","spoli_c_447",2,23,0
"664","2","spoli_c_447",1,24,0
"665","1","spoli_c_447",1,25,1
"666","2","spoli_c_447",2,26,1
"667","2","spoli_c_447",2,27,1
"668","2","spoli_c_447",1,28,0
"669","2","spoli_c_447",1,29,0
"670","2","spoli_c_447",2,30,1
"671","2","spoli_c_447",1,31,0
"672","2","spoli_c_447",2,32,1
"673","1","spoli_c_448",2,1,0
"674","1","spoli_c_448",1,2,1
"675","1","spoli_c_448",1,3,1
"676","1","spoli_c_448",2,4,0
"677","1","spoli_c_448",1,5,1
"678","1","spoli_c_448",2,6,0
"679","1","spoli_c_448",2,7,0
"680","1","spoli_c_448",1,8,1
"681","1","spoli_c_448",1,9,1
"682","1","spoli_c_448",2,10,0
"683","1","spoli_c_448",2,11,0
"684","1","spoli_c_448",1,12,1
"685","1","spoli_c_448",2,13,0
"686","1","spoli_c_448",1,14,1
"687","1","spoli_c_448",2,15,0
"688","1","spoli_c_448",1,16,1
"689","1","spoli_c_448",1,17,1
"690","1","spoli_c_448",2,18,0
"691","1","spoli_c_448",1,19,1
"692","1","spoli_c_448",2,20,0
"693","1","spoli_c_448",2,21,0
"694","1","spoli_c_448",1,22,1
"695","1","spoli_c_448",2,23,0
"696","1","spoli_c_448",1,24,1
"697","1","spoli_c_448",1,25,1
"698","1","spoli_c_448",2,26,0
"699","2","spoli_c_448",2,27,1
"700","2","spoli_c_448",1,28,0
"701","1","spoli_c_448",1,29,1
"702","1","spoli_c_448",2,30,0
"703","1","spoli_c_448",1,31,1
"704","1","spoli_c_448",2,32,0
"705","2","spoli_c_450",2,1,1
"706","2","spoli_c_450",1,2,0
"707","1","spoli_c_450",1,3,1
"708","2","spoli_c_450",2,4,1
"709","1","spoli_c_450",1,5,1
"710","1","spoli_c_450",2,6,0
"711","2","spoli_c_450",2,7,1
"712","2","spoli_c_450",1,8,0
"713","1","spoli_c_450",1,9,1
"714","2","spoli_c_450",2,10,1
"715","1","spoli_c_450",2,11,0
"716","1","spoli_c_450",1,12,1
"717","2","spoli_c_450",2,13,1
"718","2","spoli_c_450",1,14,0
"719","1","spoli_c_450",2,15,0
"720","2","spoli_c_450",1,16,0
"721","2","spoli_c_450",1,17,0
"722","1","spoli_c_450",2,18,0
"723","2","spoli_c_450",1,19,0
"724","2","spoli_c_450",2,20,1
"725","1","spoli_c_450",2,21,0
"726","1","spoli_c_450",1,22,1
"727","2","spoli_c_450",2,23,1
"728","1","spoli_c_450",1,24,1
"729","2","spoli_c_450",1,25,0
"730","2","spoli_c_450",2,26,1
"731","1","spoli_c_450",2,27,0
"732","1","spoli_c_450",1,28,1
