"ans","subj","key","trial_order","corr","task"
2,"blast_c_073",1,5,0,"lsl"
2,"blast_c_073",1,6,0,"lsl"
2,"blast_c_073",1,7,0,"lsl"
2,"blast_c_073",1,8,0,"lsl"
1,"blast_c_073",1,9,1,"lsl"
2,"blast_c_073",1,10,0,"lsl"
1,"blast_c_073",1,11,1,"lsl"
2,"blast_c_073",1,12,0,"lsl"
1,"blast_c_073",1,13,1,"lsl"
1,"blast_c_073",1,14,1,"lsl"
2,"blast_c_073",1,15,0,"lsl"
1,"blast_c_073",1,16,1,"lsl"
1,"blast_c_073",2,17,0,"lsl"
1,"blast_c_073",2,18,0,"lsl"
1,"blast_c_073",2,19,0,"lsl"
1,"blast_c_073",2,20,0,"lsl"
2,"blast_c_073",2,21,1,"lsl"
1,"blast_c_073",2,22,0,"lsl"
1,"blast_c_073",2,23,0,"lsl"
1,"blast_c_073",2,24,0,"lsl"
1,"blast_c_073",2,25,0,"lsl"
2,"blast_c_073",2,26,1,"lsl"
1,"blast_c_073",2,27,0,"lsl"
1,"blast_c_073",2,28,0,"lsl"
1,"blast_c_073",2,29,0,"lsl"
2,"blast_c_073",2,30,1,"lsl"
1,"blast_c_073",2,31,0,"lsl"
1,"blast_c_073",2,32,0,"lsl"
1,"blast_c_088",1,1,1,"lsl"
2,"blast_c_088",1,2,0,"lsl"
2,"blast_c_088",1,3,0,"lsl"
1,"blast_c_088",1,4,1,"lsl"
1,"blast_c_088",1,5,1,"lsl"
2,"blast_c_088",1,6,0,"lsl"
1,"blast_c_088",1,7,1,"lsl"
2,"blast_c_088",1,8,0,"lsl"
2,"blast_c_088",1,9,0,"lsl"
2,"blast_c_088",1,10,0,"lsl"
1,"blast_c_088",1,11,1,"lsl"
2,"blast_c_088",1,12,0,"lsl"
1,"blast_c_088",1,13,1,"lsl"
1,"blast_c_088",1,14,1,"lsl"
2,"blast_c_088",1,15,0,"lsl"
1,"blast_c_088",1,16,1,"lsl"
2,"blast_c_088",2,17,1,"lsl"
1,"blast_c_088",2,18,0,"lsl"
2,"blast_c_088",2,19,1,"lsl"
2,"blast_c_088",2,20,1,"lsl"
1,"blast_c_088",2,21,0,"lsl"
2,"blast_c_088",2,22,1,"lsl"
1,"blast_c_088",2,23,0,"lsl"
2,"blast_c_088",2,24,1,"lsl"
1,"blast_c_088",2,25,0,"lsl"
1,"blast_c_088",2,26,0,"lsl"
2,"blast_c_088",2,27,1,"lsl"
1,"blast_c_088",2,28,0,"lsl"
2,"blast_c_088",2,29,1,"lsl"
2,"blast_c_088",2,30,1,"lsl"
1,"blast_c_088",2,31,0,"lsl"
2,"blast_c_088",2,32,1,"lsl"
2,"blast_c_092",1,1,0,"lsl"
2,"blast_c_092",1,2,0,"lsl"
1,"blast_c_092",1,3,1,"lsl"
1,"blast_c_092",1,4,1,"lsl"
1,"blast_c_092",1,5,1,"lsl"
1,"blast_c_092",1,6,1,"lsl"
1,"blast_c_092",1,7,1,"lsl"
1,"blast_c_092",1,8,1,"lsl"
2,"blast_c_092",1,9,0,"lsl"
2,"blast_c_092",1,10,0,"lsl"
2,"blast_c_092",1,11,0,"lsl"
1,"blast_c_092",1,12,1,"lsl"
1,"blast_c_092",1,13,1,"lsl"
2,"blast_c_092",1,14,0,"lsl"
1,"blast_c_092",1,15,1,"lsl"
1,"blast_c_092",1,16,1,"lsl"
2,"blast_c_092",2,17,1,"lsl"
2,"blast_c_092",2,18,1,"lsl"
2,"blast_c_092",2,19,1,"lsl"
2,"blast_c_092",2,20,1,"lsl"
2,"blast_c_092",2,21,1,"lsl"
1,"blast_c_092",2,22,0,"lsl"
1,"blast_c_092",2,23,0,"lsl"
2,"blast_c_092",2,24,1,"lsl"
1,"blast_c_092",2,25,0,"lsl"
2,"blast_c_092",2,26,1,"lsl"
1,"blast_c_092",2,27,0,"lsl"
2,"blast_c_092",2,28,1,"lsl"
1,"blast_c_092",2,29,0,"lsl"
2,"blast_c_092",2,30,1,"lsl"
1,"blast_c_092",2,31,0,"lsl"
2,"blast_c_092",2,32,1,"lsl"
2,"blast_c_095",1,1,0,"lsl"
1,"blast_c_095",1,2,1,"lsl"
2,"blast_c_095",1,3,0,"lsl"
1,"blast_c_095",1,4,1,"lsl"
1,"blast_c_095",1,5,1,"lsl"
1,"blast_c_095",1,6,1,"lsl"
1,"blast_c_095",1,7,1,"lsl"
1,"blast_c_095",1,8,1,"lsl"
1,"blast_c_095",1,9,1,"lsl"
1,"blast_c_095",1,10,1,"lsl"
2,"blast_c_095",1,11,0,"lsl"
1,"blast_c_095",1,12,1,"lsl"
1,"blast_c_095",1,13,1,"lsl"
1,"blast_c_095",1,14,1,"lsl"
2,"blast_c_095",1,15,0,"lsl"
1,"blast_c_095",1,16,1,"lsl"
2,"blast_c_095",2,17,1,"lsl"
2,"blast_c_095",2,18,1,"lsl"
1,"blast_c_095",2,19,0,"lsl"
2,"blast_c_095",2,20,1,"lsl"
2,"blast_c_095",2,21,1,"lsl"
2,"blast_c_095",2,22,1,"lsl"
2,"blast_c_095",2,23,1,"lsl"
2,"blast_c_095",2,24,1,"lsl"
2,"blast_c_095",2,25,1,"lsl"
2,"blast_c_095",2,26,1,"lsl"
1,"blast_c_095",2,27,0,"lsl"
2,"blast_c_095",2,28,1,"lsl"
2,"blast_c_095",2,29,1,"lsl"
1,"blast_c_095",2,30,0,"lsl"
2,"blast_c_095",2,31,1,"lsl"
2,"blast_c_095",2,32,1,"lsl"
1,"blast_c_096",1,1,1,"lsl"
2,"blast_c_096",1,2,0,"lsl"
1,"blast_c_096",1,3,1,"lsl"
1,"blast_c_096",1,4,1,"lsl"
2,"blast_c_096",1,5,0,"lsl"
2,"blast_c_096",1,6,0,"lsl"
2,"blast_c_096",1,7,0,"lsl"
2,"blast_c_096",1,8,0,"lsl"
1,"blast_c_096",1,9,1,"lsl"
2,"blast_c_096",1,10,0,"lsl"
